CODI_PROVINCIA,PROVINCIA,CODI_MUNICIPI,MUNICIPI,ESTACIO,CODI_CONTAMINANT,ANY,MES,DIA,DATE,DATETIME,HOUR,VALUE,HOUR2D,VALIDATION
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T00:00:00Z,24,1,24,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T01:00:00Z,1,1,01,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T02:00:00Z,2,1,02,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T03:00:00Z,3,2,03,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T04:00:00Z,4,1,04,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T05:00:00Z,5,1,05,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T06:00:00Z,6,1,06,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T07:00:00Z,7,1,07,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T08:00:00Z,8,3,08,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T09:00:00Z,9,8,09,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T10:00:00Z,10,6,10,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T11:00:00Z,11,2,11,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T12:00:00Z,12,1,12,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T13:00:00Z,13,1,13,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T14:00:00Z,14,1,14,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T15:00:00Z,15,2,15,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T16:00:00Z,16,1,16,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T17:00:00Z,17,1,17,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T18:00:00Z,18,1,18,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T19:00:00Z,19,1,19,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T20:00:00Z,20,1,20,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T21:00:00Z,21,1,21,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,9,2025-08-09,2025-08-09T22:00:00Z,22,1,22,Valid
